Sample	Filename	per_base_sequence_quality	%GC	avg_sequence_length	per_sequence_quality_scores	per_sequence_gc_content	Total Bases	sequence_duplication_levels	Sequence length	per_base_n_content	median_sequence_length	total_deduplicated_percentage	Total Sequences	basic_statistics	File type	Encoding	Sequences flagged as poor quality	per_tile_sequence_quality	sequence_length_distribution	adapter_content	per_base_sequence_content	overrepresented_sequences
Mohsen180_S6_L001_R1_001	Mohsen180_S6_L001_R1_001.fastq.gz	warn	43.0	297.34552953284225	pass	fail	620.6 Mbp	pass	35-301	pass	301	93.43706381099983	2086169.0	pass	Conventional base calls	Sanger / Illumina 1.9	0.0	pass	warn	pass	warn	fail
Mohsen180_S6_L001_R2_001	Mohsen180_S6_L001_R2_001.fastq.gz	fail	44.0	297.64250834903595	pass	fail	621.2 Mbp	pass	35-301	pass	301	93.7273974967142	2086169.0	pass	Conventional base calls	Sanger / Illumina 1.9	0.0	pass	warn	pass	warn	fail
Mohsen181_S7_L001_R1_001	Mohsen181_S7_L001_R1_001.fastq.gz	warn	42.0	298.6339395150999	pass	fail	615.7 Mbp	pass	35-301	pass	301	93.77463806999296	2060878.0	pass	Conventional base calls	Sanger / Illumina 1.9	0.0	pass	warn	pass	fail	fail
Mohsen181_S7_L001_R2_001	Mohsen181_S7_L001_R2_001.fastq.gz	fail	43.0	298.84271315429635	pass	fail	616.1 Mbp	pass	35-301	pass	301	94.15760194592345	2060878.0	pass	Conventional base calls	Sanger / Illumina 1.9	0.0	pass	warn	pass	warn	fail
Mohsen182_S8_L001_R1_001	Mohsen182_S8_L001_R1_001.fastq.gz	warn	41.0	298.8167226018576	pass	fail	631.4 Mbp	pass	35-301	pass	301	91.64317957856453	2111968.0	pass	Conventional base calls	Sanger / Illumina 1.9	0.0	pass	warn	pass	fail	fail
Mohsen182_S8_L001_R2_001	Mohsen182_S8_L001_R2_001.fastq.gz	fail	41.0	298.98515697207534	pass	fail	631.7 Mbp	pass	35-301	pass	301	92.06681228675788	2111968.0	pass	Conventional base calls	Sanger / Illumina 1.9	0.0	pass	warn	pass	warn	fail
Mohsen184_S9_L001_R1_001	Mohsen184_S9_L001_R1_001.fastq.gz	warn	41.0	298.6673175317303	pass	fail	605.8 Mbp	pass	35-301	pass	301	86.32659287136786	2027558.0	pass	Conventional base calls	Sanger / Illumina 1.9	0.0	pass	warn	pass	warn	fail
Mohsen184_S9_L001_R2_001	Mohsen184_S9_L001_R2_001.fastq.gz	fail	42.0	298.86777098361677	pass	fail	606.2 Mbp	pass	35-301	pass	301	86.87840062657378	2027558.0	pass	Conventional base calls	Sanger / Illumina 1.9	0.0	pass	warn	warn	warn	fail
Mohsen185_S10_L001_R1_001	Mohsen185_S10_L001_R1_001.fastq.gz	warn	41.0	298.4888915738796	pass	fail	481.9 Mbp	pass	35-301	pass	301	93.59944054829305	1613910.0	pass	Conventional base calls	Sanger / Illumina 1.9	0.0	pass	warn	pass	fail	fail
Mohsen185_S10_L001_R2_001	Mohsen185_S10_L001_R2_001.fastq.gz	fail	42.0	298.69242460855935	pass	fail	482.2 Mbp	pass	35-301	pass	301	94.16609500368648	1613910.0	pass	Conventional base calls	Sanger / Illumina 1.9	0.0	pass	warn	pass	warn	fail
